datapoint,misogynistic_label
"No, I wasn't. Are you leading me on? Because I'm not going to be the other woman.",1
Braid her hair. Blow on this. Put this together.,1
"The one that dad did a couple times, with the big tits? Susan? Yeah.",1
"A half homer of barley. Half homer of barley? Surely, this woman has many good years of work in her.",1
Guess you can't keep a good woman down. Walk away. It's gonna get ugly.,1
Who's sexier? She got a mean cat? But I got the eye of a tiger And I'ma go hunting?,1
"Yeah? Does she like desperate, broken men with nothing to offer? Most American women like that kind of thing.",1
"And stop thinking that this craziness is fun. You see we women, we understand that life is about more than polishing your knobs. Saving lives, that's our job.",1
"Okay god knows I'm not the one to judge, but I do know that what your women are doing is wrong. And in like you have to pay the consequences for your actions. This here's about freedom.",1
Fuck! Go! Go! Go! You better run!,1
"Put your back into it, woman. Okay. How about we all invented dragon racing?",1
"Later, they used marriage to hold us in bondage and made us into servants, whores, and fantasy dolls. Never asking us what we wanted. They teach us that a normative human being is a hyper-rationalist, stoic male and that women's emotions and intuitions are illnesses that need to be cured.",1
For work? No. For her fucking period.,1
"All tugs disengage. Do you realize that there are only 36 women on this Moon Base? I'm sure one of them will eventually come around, pal.",1
"I think when women are nasty with other women, it's much more subtle, like it's much more insidious, you know. Like I have this girlfriend, every time I see her, she'd be like, "" Hey, hooker.' s up, slut? "" Which that's never going to feel good, you know? But to me it's just a reminder that I think we need to stop using the word hooker as a pejorative term.",1
"She's the best. So you titty-fuck her? Bro, she lets me do whatever the fuck I want.",1
"And you know how his mama can get. That woman all she ever do is criticize me. So... I had just a few hours to scrub this place clean, get rid of all the clutter.",1
"She's okay. It's okay, baby. Don't feel badly.",1
"Married women so quickly forget what a sex drive is. Meg. Honey, I'm just kidding.",1
Here me? Ahhhh... are you still with the same women? Mercedes?,1
"You really believe that these women can convince themselves that they can fall in love with men like this? You know what you were saying the other night, about my men? Yeah.",1
Her. Whoo! Doggie style. That's not fair.,1
"I love you truly Truly, dear Life with its sorrows? Like a lily among thorns is my darling among the young women.? Fades into dreams",1
Of course. Look at her. She's a princess.,1
"In your mind, count how many times you could have done it. And don't make something up. I know where she goes and what she does.",1
Neither of you have read anything that I've written. How are you supposed to know if I'm any good or not? You're my parents.,1
"They surely do. And it was brought about by one devious woman who's trying to keep her neck out of the noose as well. My god, Wade, I don't think I've seen a more desperate group of people in my entire life.",1
"Like when I hear about a woman who killed her husband, the first thing I think I'm like, well, what the fuck did he do? That poor woman! Love makes you think about things you never thought you'd do before, you know?",1
